playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
abercda01,1871,1,TRO,NA,SS,1,,,1,3,2,0,,,,,
addybo01,1871,1,RC1,NA,2B,22,,,67,72,42,5,,,,,
addybo01,1871,1,RC1,NA,SS,3,,,8,14,7,0,,,,,
allisar01,1871,1,CL1,NA,2B,2,,,1,4,0,0,,,,,
allisar01,1871,1,CL1,NA,OF,29,,,51,3,7,1,,,,,
allisdo01,1871,1,WS3,NA,C,27,,,68,15,20,4,0,,,,
ansonca01,1871,1,RC1,NA,1B,1,,,7,0,0,0,,,,,
ansonca01,1871,1,RC1,NA,2B,2,,,3,4,1,0,,,,,
ansonca01,1871,1,RC1,NA,3B,20,,,38,52,28,2,,,,,
ansonca01,1871,1,RC1,NA,C,5,,,10,0,8,0,0,,,,
ansonca01,1871,1,RC1,NA,OF,1,,,0,0,0,0,,,,,
armstbo01,1871,1,FW1,NA,OF,12,,,29,2,7,0,,,,,
barkeal01,1871,1,RC1,NA,OF,1,,,2,0,0,0,,,,,
barnero01,1871,1,BS1,NA,2B,16,,,42,61,15,10,,,,,
barnero01,1871,1,BS1,NA,SS,15,,,44,64,21,3,,,,,
barrebi01,1871,1,FW1,NA,3B,1,,,1,0,0,0,,,,,
barrebi01,1871,1,FW1,NA,C,1,,,8,0,0,0,0,,,,
barrofr01,1871,1,BS1,NA,2B,1,,,2,0,1,0,,,,,
barrofr01,1871,1,BS1,NA,OF,17,,,28,1,6,0,,,,,
bassjo01,1871,1,CL1,NA,C,1,,,4,0,1,0,0,,,,
bassjo01,1871,1,CL1,NA,SS,22,,,41,61,29,3,,,,,
battijo01,1871,1,CL1,NA,OF,1,,,1,0,0,0,,,,,
bealsto01,1871,1,WS3,NA,2B,2,,,9,7,0,1,,,,,
bealsto01,1871,1,WS3,NA,OF,8,,,20,1,6,0,,,,,
beaveed01,1871,1,TRO,NA,2B,3,,,8,10,4,2,,,,,
bechtge01,1871,1,PH1,NA,3B,3,,,3,3,2,0,,,,,
bechtge01,1871,1,PH1,NA,OF,15,,,21,2,5,1,,,,,
bechtge01,1871,1,PH1,NA,P,3,,,1,7,0,0,,,,,
bellast01,1871,1,TRO,NA,3B,28,,,48,49,39,4,,,,,
